time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.81719744919e-08,-9.02418231949e-08,10.0026543292,6.28296581076,6.28294058585,0.0,1.36134724164e-05,-1.27681653542e-05,0.0884741760453,-0.0122195777336,-0.0138305616508,0.0,435.1284846210497,433.9693990775096,432.4169374719163,431.386589054279
0.12000000000000001,9.97583482383e-06,-8.46739636433e-06,10.0131007706,6.28261899737,6.2817193758,0.0,0.000425717794067,-0.000324558875222,0.259716342324,0.00471036621256,-0.0384477521604,0.0,459.24097707218556,457.2844857492573,458.99745123192633,460.33892314733095
0.18,8.65793959773e-05,-4.19941747825e-05,10.038149775,6.2826362534,6.27892469252,0.0,0.00245618051192,-0.000770289243717,0.575144765056,-0.0104821659211,-0.0724857426618,0.0,501.2716905467532,498.791135103927,501.95942970288945,500.85589744577845
0.23999999999999996,0.000355125021464,-0.000104159355114,10.078933396,6.2819829253,6.2741542671,0.0,0.00702616395573,-0.0013775355109,0.784185868416,-0.0117147327598,-0.0997185356258,0.0,471.44261479068734,469.32897191816323,470.86745878032906,470.77224209295593
0.3,0.000997173212513,-0.000215674107904,10.1300764351,6.2814047205,6.26822354225,0.0,0.0150139961941,-0.00240794376068,0.920474664411,-0.00577477562612,-0.0971552717593,0.0,449.0824562963849,449.28200662938264,448.42627232994334,448.90858713887826
0.36000000000000004,0.00220190152796,-0.000395177615442,10.1865984385,6.28075846529,6.26255743308,0.0,0.0256804247702,-0.0036194668039,0.963547219183,-0.0233317631085,-0.0894885907165,0.0,419.85866907488213,420.51505544839216,419.2835275813491,417.75569229880506
0.4200000000000001,0.00422905846957,-0.000672438973856,10.2492630197,6.27966999628,6.25755153286,0.0,0.0424623377604,-0.00575859942858,1.12511328827,-0.00938218537317,-0.0734645825383,0.0,455.85951146921667,457.1324027118661,456.992021031604,458.1025029829072
0.48000000000000015,0.007371207226,-0.00109934043952,10.3215837128,6.27904228889,6.25324646394,0.0,0.0627544589942,-0.00853672612494,1.28539587782,-0.0127134800698,-0.0685290728214,0.0,455.8722090210562,456.2625371135696,458.0243067935707,457.75944858512923
0.5400000000000001,0.0119299823936,-0.00172225260923,10.4069105618,6.27785167819,6.24957310684,0.0,0.0896872810255,-0.012341896556,1.55848403709,-0.0405668720193,-0.0496010423545,0.0,490.2620984846618,491.6638915284894,491.0209864253537,488.9504906271696
0.6000000000000002,0.0179461742165,-0.00257024677609,10.5013405,6.27539863699,6.24626579096,0.0,0.111135896197,-0.0161484076433,1.58912582521,-0.041525802161,-0.0694371903172,0.0,418.1187196883978,416.38471643304484,416.5864994877088,416.50164769606414
0.6600000000000003,0.0254614868132,-0.00372413148987,10.6014963905,6.27318722774,6.24180907857,0.0,0.139840783973,-0.0225715738916,1.74915020379,-0.0288581196124,-0.086333924284,0.0,458.10394779751175,456.7542398277248,458.4208895885189,459.4256772977305
0.7200000000000003,0.0347967245701,-0.00530816871532,10.7111090726,6.27191460092,6.23709702,0.0,0.171863984885,-0.0303887682019,1.90433234394,-0.00915242500041,-0.0662909765852,0.0,456.23102119206396,457.8234691311158,456.69003969864116,458.2589677416119
0.7800000000000004,0.0460430180742,-0.00735847727571,10.8276611469,6.27115036543,6.23326783833,0.0,0.20338954343,-0.0380166535245,1.98058533656,-0.0210953212333,-0.0592880444374,0.0,433.1232420306521,433.7086676089917,433.3733428385575,432.3684881436096
0.8400000000000004,0.0591195854891,-0.00985107823262,10.9461055739,6.27019103457,6.22915569197,0.0,0.232809582114,-0.0451636384012,1.9675641685,-0.00735073551404,-0.102771217592,0.0,405.270608593462,401.3383287329828,403.58442966431824,404.8230739990581
0.9000000000000005,0.0744344973768,-0.0128800802449,11.0709032625,6.2694321552,6.22348701061,0.0,0.278371704099,-0.0558659206349,2.19190887292,-0.0262043565368,-0.0816276948362,0.0,478.09611880119854,479.6971599789193,479.33642913071634,477.90170955241126
0.9600000000000005,0.0924248921552,-0.0165304541374,11.2060002528,6.26775350444,6.2182522692,0.0,0.32181947587,-0.0659795110508,2.31104850271,-0.0317825419375,-0.101895484678,0.0,449.11730595014063,447.4640177961956,448.00380350374996,447.54983206677844
1.0200000000000005,0.113049679351,-0.0208031340821,11.346905983,6.26612699503,6.21205880881,0.0,0.366265332634,-0.076612233299,2.38560403523,-0.0191017207347,-0.106021644371,0.0,435.33635603197047,434.98144231622814,433.3920491430064,434.4563164135997
1.0800000000000005,0.136761912912,-0.0258134084839,11.4963765687,6.26558834288,6.20575946179,0.0,0.424855502401,-0.0904815003914,2.59622449927,0.00601414279506,-0.103001750017,0.0,476.72452633936456,476.9464029584476,475.5915588727219,477.511387337172
1.1400000000000006,0.163968524265,-0.0316245727608,11.6563009303,6.26611704456,6.19931183749,0.0,0.482679736927,-0.103168978338,2.73419928528,0.0138899825503,-0.118325691217,0.0,456.99560101296316,455.76254466811105,455.3204321314526,455.9499555939189
1.2000000000000006,0.194566458026,-0.0381397393346,11.8218967179,6.26679853719,6.19234788323,0.0,0.537902419875,-0.113927882256,2.78546379841,0.00574138581933,-0.111894999699,0.0,429.47442723817875,430.00693346313295,429.51596529721684,428.82422020924867
1.2600000000000007,0.228606804822,-0.0452884425007,11.9905270102,6.26680771023,6.1853428975,0.0,0.597405128943,-0.124339291464,2.83534415658,-0.0144083649334,-0.128841727759,0.0,429.45024708170166,427.99737393694113,431.00965297834676,429.3033243268623
